N,P,K,temperature,humidity,ph,rainfall,label
93.77328233447616,18.507638739362545,56.060453596613684,24.520430563373207,91.15607631292025,6.484939246695858,24.48971804685576,muskmelon
99.32773637555782,17.063667952502776,45.327030525507645,25.232756168459172,91.98380088699246,6.133490494612853,50.248507411191454,watermelon
29.55902099418115,57.171096273489965,49.642071535530604,30.348231150514962,92.71542468513998,6.851916024169869,158.41374341452465,papaya
54.60777858163173,64.36670088431772,54.073422186470346,32.06637513247895,86.54476641402962,6.037735730298594,139.74319001075213,papaya
12.66167366904569,143.90566827442788,185.82817444591822,19.0451616246489,91.43087613846261,6.029891878413091,115.45886095390145,apple
24.456719508026232,26.182577093417407,28.547792589944255,32.33243551326177,54.07877243326035,5.980742030884709,110.60086836190084,mango
24.277771791442262,152.05668878116265,218.87506982418458,19.082994988551437,82.28714714281297,6.607884277730031,147.0348741748918,apple
13.820452380657363,40.42092091786247,21.405046251409033,21.602213121535492,58.06318704822036,6.852553846688305,83.43092969594733,mothbeans
21.800820919728835,44.31177121110092,22.277019149251185,24.789425311317004,94.5952030642091,6.131100202422382,51.19302337200436,mungbean
17.047769070353915,65.12958711456365,17.594372575559568,25.738040279270326,72.06013439271625,6.7115568782492465,45.79147029623107,lentil
45.864434251727985,57.53618911204974,20.55745429398895,26.43670428024742,63.01338373724319,7.260309469590915,68.91093606255913,blackgram
23.74913956340044,18.702325395371673,27.10435581496562,25.626549091229442,98.96068699572734,5.9756639010088595,153.34454684518263,coconut
24.6848453677798,17.75323890098564,41.532254314816704,19.686788032787025,90.90994941311399,6.131845814402554,106.52535228818437,pomegranate
100.7768892603093,55.09538595097903,41.33787456241078,28.416731834440142,68.87032291020961,6.463734567811389,162.2510531706712,jute
24.189761314898778,15.995456491155862,29.23635027509922,28.448138281668413,92.93234370595334,5.64422822337605,191.2477280663661,coconut
25.01004662959561,17.09134426860302,46.73049897257129,20.42008732065609,97.35792541284947,5.993442975767363,118.60847060706415,pomegranate
22.239231409509124,123.29679451348163,209.3024124317926,20.805018961355117,79.53805174208466,6.0979548836313695,96.24588673846455,apple
88.74056569847572,64.13834496236646,34.951794906543974,27.01771716051311,67.09509504683022,5.988496443272478,99.16346383513441,maize
38.38497952506382,55.97985057262615,51.09602093816794,35.02028643826108,92.8089577030136,6.8040172048725855,138.25947250637248,papaya
102.38737925291356,13.178488024597387,50.073470477721834,30.158499493995166,91.22654834432723,6.614163233227042,25.495072247436287,muskmelon
82.07915074415075,27.43366232282265,37.853209362313365,21.598160992096588,58.40192519381827,7.160992944577328,171.64303259381546,coffee
43.827772164187884,63.23385554504122,50.09499541129936,31.43623557943161,95.09203607872067,6.481763822583065,157.76368081456425,papaya
13.886248606309126,13.25310311092462,7.54085493139783,24.008788853557686,93.45018901526952,7.118197171652502,118.9412224119873,orange
60.07896875035235,60.98313969610729,45.83429238335517,36.19789115919548,92.08916127264878,6.711270057612176,120.94656984456016,papaya
47.62299637762351,75.06139128994323,89.51931562867237,22.919893588114178,19.96850996428757,7.222630091670478,56.980341881028316,chickpea
70.55243843215611,45.737761501754406,41.89986085516805,27.009604113714467,75.28007492326056,6.40310221374662,151.0840326659113,jute
20.22745738165376,49.791682116058524,28.283237182809774,26.554702086719573,87.62229302176259,5.858841162231291,25.080437956869762,mungbean
20.05684954399247,17.278469678938556,7.0588352455495755,29.405963371927875,90.31727539395445,6.907535221551751,104.79875163487635,orange
20.977408657766453,66.50577399380347,22.17987694750023,19.403261744340945,52.410347450313154,5.83785337109859,144.55050206443468,pigeonpeas
90.53802052034904,33.111653160214544,35.310874800424386,24.54510580162598,84.56892975456104,6.354514305891814,315.5819447196416,rice
16.892001528074804,13.677055096425242,44.79408153233836,24.383058883549285,80.26328762929593,6.293537341699965,95.84207055267561,pomegranate
24.202714675373866,47.61539100828091,19.4343597374213,24.102350909662526,54.16393371470082,6.672970806895222,29.100782950214466,mothbeans
73.11987196827914,46.91293902107168,37.93770637482865,25.751290849003134,83.40143582858879,6.352619890080608,172.3900614843823,jute
27.39937274710504,70.60378060179356,17.360967700617387,19.721945648638645,66.96936609082371,7.148797131774859,39.94678780389085,lentil
80.46117706376583,45.72872698567926,32.51543693364009,27.612452655590392,83.71755335167299,6.497329441422635,191.68718018013405,jute
37.07807218008123,58.644151137529676,29.179367675908964,31.4069342344454,62.54021547565259,7.49841706669609,58.27235483239999,blackgram
86.02332777884466,46.50367904060673,49.887770943403865,23.686533631415042,75.50071014182366,6.825427428251981,157.12655357716255,jute
32.64492326730861,54.34856238626835,76.71196622495911,21.302878904995712,24.833389816882374,6.831135121664275,77.96699223236521,chickpea
36.56558220386192,63.53789510063072,67.74946029062534,17.750683282113915,10.98111850387599,7.428016789106881,73.82439752934503,chickpea
